Photo Name,Pod Number,Pod Size (cm)
306_MB-SR,1,6.744211856458221
306_MB-SR,2,7.263261826676611
306_MB-SR,3,8.356141586980398
306_MB-SR,4,3.2469148570187194
306_MB-SR,5,7.7451054549368505
306_MB-SR,6,5.44778446432424
306_MB-SR,7,6.458564675855383
306_MB-SR,8,7.905273413654038
306_MB-SR,9,6.278959914373096
306_MB-SR,10,7.049680535830755
306_MB-SR,11,4.670984829071925
306_MB-SR,12,1.7521462256032494
306_MB-SR,13,8.44702119080005
306_MB-SR,14,9.180399564182107
306_MB-SR,15,1.6791401328697808
306_MB-SR,16,7.209030829874079
306_MB-SR,17,3.8540709808074034
306_MB-SR,18,6.4761931103363235
306_MB-SR,19,3.7276211070337064
306_MB-SR,20,7.414632277921869
306_MB-SR,21,5.610056368564641
306_MB-SR,22,5.530042941562103
306_MB-SR,23,5.575444125340194
306_MB-SR,24,7.34262505801887
306_MB-SR,25,5.743608265295799
306_MB-SR,26,6.060296625922105
306_MB-SR,27,6.4299508682084126
306_MB-SR,28,7.274942326213883
306_MB-SR,29,7.590937417109898
306_MB-SR,30,7.884458240648529
306_MB-SR,31,7.051355225966599
306_MB-SR,32,6.350730969547404
306_MB-SR,33,7.539432711876626
306_MB-SR,34,7.567114485767285
306_MB-SR,35,8.103159404574875
306_MB-SR,36,4.183896190131244
306_MB-SR,37,3.62848464958642
306_MB-SR,38,5.21166578032874
306_MB-SR,39,6.100280131411514
306_MB-SR,40,5.6661302671729805
306_MB-SR,41,5.868855407062844
306_MB-SR,42,6.93118673985098
306_MB-SR,43,7.260414482117487
306_MB-SR,44,7.348836635977271
306_MB-SR,45,7.2863198219483065
306_MB-SR,46,7.708586812786146
306_MB-SR,47,7.874401930613292
306_MB-SR,48,5.207767948320769
306_MB-SR,49,8.0924042548865
306_MB-SR,50,7.184240217268937
306_MB-SR,51,8.06012618066292
306_MB-SR,52,7.904243349255628
306_MB-SR,53,7.688420721456347
306_MB-SR,54,8.005756307117416
306_MB-SR,55,8.2977658249237
306_MB-SR,56,6.275019379623301
306_MB-SR,57,8.031805722285863
306_MB-SR,58,3.667740723152078
306_MB-SR,59,8.170173745638284
306_MB-SR,60,9.074631185265604
306_MB-SR,61,2.5325988019223855
306_MB-SR,62,5.4313647031009875
306_MB-SR,63,5.94922122451747
306_MB-SR,64,8.125741357107291
306_MB-SR,65,7.609897434479338
306_MB-SR,66,7.908993379459112
306_MB-SR,67,7.054061465813612
306_MB-SR,68,6.309162264015884
306_MB-SR,69,6.817300384049818
306_MB-SR,70,8.253849582576482
306_MB-SR,71,9.073121364846015
306_MB-SR,72,7.715528421965628
306_MB-SR,73,7.2655997089593765
306_MB-SR,74,7.786766249859432
306_MB-SR,75,7.688985140304791
306_MB-SR,76,7.69705484452478
306_MB-SR,77,7.811537553398706
306_MB-SR,78,9.39000541542833
306_MB-SR,79,8.482468179795092
306_MB-SR,80,9.669991326449999
306_MB-SR,81,9.492925707129329
